Minutes,SBP,MAP,DBP,Salt,CO,TPR,GFR,RBF,Urine Na,Urine Volume,Left PT Reabsorption,Right PT Reabsorption,Left Loop Reabsorption,Right  Loop Reabsorption,MD Na,Left DT Reabsorption,Right DT Reabsorption,Left CD Reabsorption,Right CD Reabsorption,Renin,Ang II,Aldosterone,ANP,[Na+],[K+],Blood Volume,Left Efferent Arteriolar Resistance,Right Efferent Arteriolar Resistance,Left Afferent Arteriolar Resistance,Right Afferent Arteriolar Resistance,ECFV,Na Mass,Right Renal Ganglia,Left Renal Ganglia
2160,120.1979177,92.30163166,75.56386004,180,5634.972385,0.016140386,116.608744,1047.910375,0.129869426,0.467592965,3.734676428,5.217271876,2.273282639,2.919397927,47.47294959,0.562498289,0.745052788,0.165392082,0.20230958,0.969816605,9.697196234,288.5909552,22.64320156,145.1228122,4.302452864,5660.172825,0.101625075,0.079351086,0.080358569,0.058749347,15.92256608,2310.727567,1.521356717,1.521356717
12240,120.3369631,92.37229962,75.59350155,180,5649.127655,0.016115661,116.3671487,1048.595607,0.128628248,0.464070254,3.735121244,5.218000484,2.262320676,2.905107969,47.42340888,0.560118714,0.742052064,0.163984665,0.200226377,0.978358775,9.782609392,287.9104625,22.79015377,145.1276091,4.298579401,5660.169659,0.102058921,0.079689842,0.08008886,0.058375352,15.90436172,2308.16199,1.522343746,1.522343746
22320,120.4556764,92.41391772,75.58886254,180,5663.955145,0.016081882,115.8735985,1050.329418,0.127222405,0.463778356,3.722006572,5.201252072,2.251001015,2.889579812,47.36038413,0.557550077,0.738622176,0.162440991,0.197776235,0.984029904,9.839315011,287.1714216,22.95174807,145.130822,4.295912658,5663.217983,0.102286635,0.079867646,0.079651604,0.058014369,15.89270275,2306.521015,1.522093829,1.522093829
32400,120.3628255,92.30369584,75.46821803,180,5668.060133,0.016048514,115.6362029,1050.806425,0.127071642,0.466491708,3.709554936,5.194152883,2.249770637,2.881871801,47.34643939,0.556867609,0.736826281,0.162185523,0.196497923,0.986694612,9.865959423,286.6540031,23.25433438,145.1346891,4.293269732,5667.087685,0.10235295,0.079919427,0.079307526,0.057656745,15.88289886,2305.159588,1.522710248,1.522710248
42480,120.5130741,92.38366351,75.50601714,180,5681.495898,0.016026723,115.3923053,1052.064895,0.126290825,0.468981945,3.706111169,5.186791396,2.242084765,2.87411781,47.31453826,0.555104543,0.734909077,0.161317411,0.195504805,0.990203895,9.901048743,286.0264605,23.25517841,145.1436739,4.291747025,5668.542186,0.102492411,0.080028321,0.07913975,0.057499065,15.87378014,2303.978769,1.522396502,1.522396502
52560,120.5913408,92.42162884,75.51980168,180,5689.648851,0.016010996,115.1482869,1053.081234,0.125664711,0.471479775,3.700629679,5.179156779,2.23630867,2.866874786,47.2906787,0.553738023,0.733186331,0.160605996,0.19446355,0.993181588,9.9308227,285.5318608,23.32230443,145.1639008,4.290215119,5670.180497,0.10260722,0.080117966,0.078956563,0.057314656,15.86656404,2303.252329,1.522541656,1.522541656
0,120.1492873,92.27763244,75.55463951,180,5630.590959,0.01614767,116.6125417,1047.718766,0.129923361,0.468211342,3.733269911,5.215258876,2.274594594,2.920744506,47.47852983,0.562844757,0.745420583,0.165510055,0.20242654,0.967945421,9.67848626,288.8572378,22.61375099,145.1178313,4.303573538,5659.846737,0.101541662,0.079285955,0.080469638,0.058772995,15.92651604,2311.221469,1.521606639,1.521606639
0,120.1492873,92.27763244,75.55463951,500,5630.590959,0.01614767,116.6125417,1047.718766,0.129923361,0.468211342,3.733269911,5.215258876,2.274594594,2.920744506,47.47852983,0.562844757,0.745420583,0.165510055,0.20242654,0.967945421,9.67848626,288.8572378,22.61375099,145.1178313,4.303573538,5659.846737,0.101541662,0.079285955,0.080469638,0.058772995,15.92651604,2311.221469,1.521606639,1.521606639
720,122.2243131,92.57918515,74.79210839,500,5949.586451,0.015194901,107.9378418,1101.012936,0.242362549,0.249592274,2.854141473,4.203114854,2.584012363,3.312732476,52.83335322,0.598072133,0.767470623,0.255069704,0.308699824,0.720745673,7.206735989,227.8142006,30.41439478,148.9298924,4.226405481,5943.233603,0.087687726,0.068468498,0.084605503,0.061411172,16.33030251,2432.070194,1.476891702,1.476891702
2160,124.846708,94.09570334,75.64510056,500,6146.248156,0.014888193,106.9555156,1149.474388,0.375685404,0.715544575,2.701605355,3.961115097,2.587998661,3.286182104,56.52384681,0.586950764,0.722351431,0.3,0.378264907,0.554063454,5.540080477,201.2194248,35.02724154,148.0944461,4.28729299,6100.210445,0.082467167,0.064392171,0.083830497,0.061951299,16.51321151,2445.514912,1.454992607,1.454992607
12240,127.228041,97.38982097,79.48688895,500,6013.539075,0.015920598,108.2406917,1181.838347,0.359142289,1.535042166,2.937549493,3.967407098,2.526341021,3.256647778,55.80473145,0.557521163,0.711405655,0.3,0.390947155,0.450512732,4.504676812,192.188087,28.59720386,146.3171478,4.325907058,5854.440212,0.084344743,0.065858224,0.084248133,0.063785316,16.20899219,2371.653507,1.506233725,1.506233725
22320,127.1132513,97.93958056,80.43537812,500,5885.851525,0.016402849,109.1307045,1195.223651,0.358663746,1.762995364,3.031324631,4.005993193,2.51120745,3.245248968,55.78229872,0.553217198,0.707227453,0.3,0.396773561,0.397543907,3.975041522,188.5583687,26.63503268,145.7730407,4.329606569,5766.090788,0.085109287,0.066455197,0.082637998,0.063217783,16.08921554,2345.373872,1.518020653,1.518020653
32400,126.6811834,97.86251,80.57130594,500,5819.154748,0.016589425,109.7105574,1200.938998,0.354433425,1.721458526,3.065042315,4.044164037,2.50016387,3.237578083,55.59270059,0.550107819,0.705159946,0.3,0.399154985,0.381048511,3.810104059,186.7159355,25.84211867,145.3654599,4.321721322,5733.557197,0.085448197,0.066719825,0.081594524,0.062313061,16.03940174,2331.57501,1.523671366,1.523671366
42480,126.5198879,97.80390809,80.57432021,500,5797.120762,0.016642608,109.5774599,1203.846964,0.350049999,1.700391121,3.069627672,4.04031007,2.496581276,3.229680039,55.55715604,0.54889851,0.703311783,0.3,0.3959282,0.373703114,3.736657432,185.8574528,25.64516396,145.328754,4.314432692,5728.634053,0.085443435,0.066716107,0.080970144,0.061991642,16.02601556,2329.040873,1.52235612,1.52235612
